responseID,perceivedLevelOfProtectionB,actualPrivacyDecisions,hypotheticalPrivacyDecisions,objectiveLevelOfProtectionB,isInHypotheticalGroup
1276,1,5,0,2,0
1277,-1,5,0,-2,0
1278,1,0,1,2,1
1280,1,5,0,2,0
1281,0,0,5,2,1
1282,1,0,3,2,1
1284,1,0,0,2,0
1285,0,0,2,2,1
1286,-2,0,0,-2,1
1288,2,0,2,2,1
1290,0,3,0,-2,0
1294,1,0,3,2,1
1299,-1,5,0,-2,0
1300,1,0,4,-2,1
1302,2,0,1,2,1
1303,0,0,2,2,1
1305,0,0,4,2,1
1306,1,5,0,2,0
1307,1,4,0,2,0
1309,2,5,0,2,0
1312,1,0,4,2,1
1313,0,3,0,-2,0
1315,0,5,0,2,0
1316,-1,5,0,-2,0
1317,1,5,0,-2,0
1318,-2,0,2,-2,1
1319,2,0,4,2,1
1320,-2,0,2,-2,1
1321,0,0,3,2,1
1322,1,0,4,2,1
1323,1,0,3,2,1
1324,1,5,0,2,0
1326,1,0,1,2,1
1327,0,0,1,2,1
1329,1,0,2,2,1
1331,1,5,0,-2,0
1332,0,5,0,-2,0
1334,2,0,2,2,1
1335,-1,0,3,-2,1
1336,0,5,0,2,0
1337,-2,5,0,-2,0
1338,1,0,2,2,1
1340,-2,2,0,2,0
1341,0,2,0,2,0
1343,0,5,0,-2,0
1344,0,0,3,2,1
1346,1,0,2,2,1
1347,-1,0,4,-2,1
1351,-2,2,0,-2,0
1352,-1,0,0,-2,1
1355,1,5,0,2,0
1357,1,5,0,2,0
1358,-1,5,0,2,0
1360,0,0,3,-2,1
1361,1,5,0,2,0
1362,0,5,0,-2,0
1363,0,5,0,-2,0
1364,-1,5,0,-2,0
1365,-1,5,0,-2,0
1366,2,0,5,2,1
1368,1,0,2,2,1
1369,-1,0,3,-2,1
1370,2,0,3,2,1
1371,2,5,0,2,0
1373,-2,0,2,-2,1
1374,2,0,1,2,1
1375,1,0,2,2,1
1380,-1,0,4,2,1
1382,0,5,0,-2,0
1383,1,5,0,2,0
1386,0,0,5,2,1
1388,-2,5,0,-2,0
1389,1,5,0,2,0
1390,-2,0,0,2,1
1391,1,0,3,2,1
1392,-1,0,2,-2,1
1393,-1,0,4,-2,1
1394,1,0,3,-2,1
1397,2,0,4,2,1
1398,1,3,0,2,0
1399,-2,5,0,-2,0
1403,-2,5,0,-2,0
1404,1,0,2,2,1
1405,-1,0,3,-2,1
1410,0,5,0,2,0
1411,1,5,0,-2,0
1412,-1,0,1,-2,1
1413,2,5,0,2,0
1417,1,0,3,2,1
1418,0,0,2,2,1
1419,0,0,1,-2,1
1420,-2,4,0,-2,0
1421,-2,5,0,-2,0
1422,1,0,3,-2,1
1425,1,0,2,2,1
1428,1,0,2,2,1
1430,-2,0,0,-2,0
1431,0,5,0,-2,0
1433,2,0,0,-2,0
1434,-2,0,0,-2,1
1435,0,5,0,2,0
1436,-1,0,0,2,1
1438,0,0,1,2,1
1441,-1,5,0,-2,0
1442,-1,0,5,-2,1
1444,0,0,2,-2,1
1445,2,5,0,2,0
1446,1,0,5,2,1
1447,1,5,0,2,0
1448,1,5,0,2,0
1449,-2,5,0,2,0
1451,0,4,0,2,0
1452,-2,0,3,-2,1
1453,1,0,4,2,1
1454,2,0,3,-2,1
1455,1,5,0,2,0
1456,-2,5,0,2,0
1459,-2,1,0,-2,0
1460,1,5,0,2,0
1461,0,0,4,-2,1
1462,1,0,3,2,1
1472,1,4,0,-2,0
1479,1,0,1,-2,1
1482,1,5,0,2,0
1483,-2,4,0,-2,0
1485,0,4,0,2,0
1486,2,0,2,2,1
1487,1,0,4,-2,1
1489,2,5,0,2,0
1490,-1,5,0,-2,0
1491,-1,5,0,-2,0
1492,2,0,2,-2,1
1494,-2,0,1,-2,1
1495,-1,0,1,-2,1
1497,-1,0,0,-2,1
1498,0,5,0,-2,0
1499,0,0,3,-2,1
1500,1,5,0,2,0
1503,1,0,3,2,1
1504,-2,0,0,-2,0
1507,-2,3,0,-2,0
1508,1,0,3,2,1
1509,-1,4,0,-2,0
1514,1,0,3,2,1
1515,1,4,0,2,0
1516,1,0,1,2,1
1517,-1,5,0,-2,0
1518,1,4,0,2,0
1519,-1,0,0,-2,1
1521,1,0,1,2,1
1522,2,0,0,2,1
1523,1,0,4,2,1
1524,-2,0,0,-2,1
1525,-1,5,0,-2,0
1526,0,5,0,2,0
1527,-1,0,4,-2,1
1528,2,0,4,2,1
1529,-2,0,0,-2,0
1530,1,0,5,-2,1
1532,-2,5,0,-2,0
1533,1,0,0,2,0
1535,-2,0,3,-2,1
1536,-2,5,0,-2,0
1537,-2,5,0,-2,0
1538,2,5,0,2,0
1539,2,4,0,2,0
1540,-2,4,0,-2,0
1541,-1,0,0,-2,0
1542,2,0,3,2,1
1543,2,5,0,2,0
1548,2,0,4,2,1
1552,0,0,3,-2,1
1553,-2,4,0,-2,0
1554,2,5,0,2,0
1555,-2,0,3,2,1
1556,1,5,0,2,0
1557,1,0,5,2,1
1558,-1,0,1,-2,1
1560,-2,0,0,-2,1
1561,0,5,0,-2,0
1562,0,0,5,-2,1
1563,2,0,1,-2,1
1564,1,5,0,2,0
1565,1,5,0,2,0
1568,0,0,4,-2,1
1570,1,5,0,2,0
1571,1,0,4,2,1
1573,-1,0,1,-2,1
1574,1,4,0,2,0
1575,-2,0,0,-2,1
1579,1,0,4,2,1
1580,0,4,0,-2,0
1582,1,0,1,2,1
1583,0,4,0,2,0
1584,1,0,2,2,1
1586,1,0,3,2,1
1588,2,5,0,2,0
1590,-2,0,3,-2,1
1591,2,5,0,2,0
1592,0,5,0,2,0
1593,0,0,3,-2,1
1594,-1,0,3,-2,1
1596,-2,0,2,-2,1
1598,1,0,4,-2,1
1599,-2,5,0,-2,0
1600,-2,0,4,-2,1
1601,2,5,0,2,0
1603,1,5,0,-2,0
1605,0,0,4,-2,1
1608,-1,0,1,-2,1
1610,0,0,2,-2,1
1612,1,0,0,2,1
1613,-1,5,0,-2,0
1614,1,0,0,2,1
1615,0,5,0,2,0
1617,1,5,0,2,0
1624,1,0,1,2,1
1626,0,0,2,2,1
1628,1,0,3,2,1
1632,-2,5,0,-2,0
1633,-2,0,2,-2,1
1636,2,5,0,2,0
1638,-2,5,0,-2,0
1639,1,5,0,2,0
1640,-1,5,0,-2,0
1643,-1,0,2,-2,1
1645,1,5,0,-2,0
1650,-2,0,1,-2,1
1651,2,0,2,2,1
1652,1,4,0,2,0
1654,1,0,1,-2,1
1656,2,0,0,2,1
1658,2,0,5,2,1
1660,0,5,0,-2,0
1661,1,5,0,2,0
1662,1,0,5,2,1
1663,1,0,0,-2,1
1666,-2,0,2,-2,1
1667,1,0,3,-2,1
1668,1,5,0,-2,0
1669,-2,5,0,2,0
1670,0,0,0,2,1
1672,-1,5,0,-2,0
1674,-1,5,0,2,0
1675,0,5,0,-2,0
1676,-2,0,5,-2,1
1678,-1,5,0,2,0
1679,-1,5,0,-2,0
1680,0,5,0,-2,0
1681,2,0,0,2,1
1684,1,5,0,-2,0
1686,1,0,5,2,1
1690,0,5,0,2,0
1693,1,5,0,2,0
1694,0,5,0,2,0
1698,1,5,0,-2,0
1699,-1,5,0,-2,0
1700,-1,0,2,-2,1
1701,-2,5,0,-2,0
1702,-2,5,0,-2,0
1704,1,0,1,2,1
1705,1,0,1,2,1
1706,1,0,1,2,1
1709,0,0,1,2,1
1710,0,5,0,-2,0
1711,0,0,3,-2,1
1713,1,5,0,2,0
1714,1,5,0,2,0
1717,-1,5,0,2,0
1721,-2,0,0,-2,1
1723,2,0,3,2,1
1725,2,0,4,2,1
1726,1,5,0,2,0
1728,-2,0,2,-2,1
1729,0,0,3,2,1
1730,1,0,1,2,1
1731,-1,0,3,-2,1
1736,-1,0,3,-2,1
1738,1,5,0,2,0
1741,0,0,3,-2,1
1742,0,0,2,2,1
1743,0,0,0,-2,1
1745,-2,0,3,-2,1
1746,2,4,0,2,0
1747,-1,5,0,-2,0
1749,-2,0,0,-2,1
1750,2,0,3,2,1
1751,1,4,0,2,0
1752,1,4,0,-2,0
1753,2,5,0,2,0
1754,2,0,3,2,1
1755,0,5,0,2,0
1757,0,5,0,-2,0
1758,1,0,4,-2,1
1760,1,5,0,2,0
1762,0,5,0,-2,0
1764,-1,5,0,2,0
1765,-1,5,0,2,0
1766,-2,0,0,-2,1
1768,1,5,0,2,0
1770,2,5,0,-2,0
1771,1,0,3,2,1
1774,0,5,0,2,0
1775,-2,0,0,-2,1
1776,2,5,0,2,0
1777,1,4,0,2,0
1779,2,0,2,2,1
1780,2,4,0,2,0
1781,0,0,1,-2,1
1782,-2,0,1,-2,1
1783,-2,0,2,-2,1
1785,0,2,0,-2,0
1786,-1,0,2,-2,1
1787,-1,3,0,-2,0
1791,-1,5,0,2,0
1792,1,0,4,2,1
1795,0,5,0,-2,0
1796,2,0,1,2,1
1797,2,5,0,2,0
1798,1,5,0,-2,0
1799,2,5,0,2,0
1800,1,3,0,2,0
1801,-2,5,0,-2,0
1802,0,5,0,2,0
1803,0,0,1,-2,1
1804,-2,5,0,2,0
1805,1,3,0,-2,0
1806,-1,4,0,2,0
1807,-2,0,1,-2,1
1808,-2,0,0,-2,0
1809,1,5,0,2,0
1810,-2,0,3,-2,1
1811,1,5,0,2,0
1812,-1,0,1,-2,1
1813,1,5,0,2,0
1814,0,0,0,2,1
1816,2,0,3,2,1
1817,1,0,0,2,1
1819,0,5,0,-2,0
1820,-1,0,1,-2,1
1821,0,0,4,-2,1
1823,0,0,0,-2,1
1826,1,0,4,2,1
1828,1,4,0,2,0
1829,-1,0,4,2,1
1830,-1,0,4,-2,1
1832,0,0,2,2,1
1833,1,5,0,2,0
1835,0,5,0,-2,0
1836,-2,0,4,-2,1
1837,0,3,0,2,0
1839,1,5,0,-2,0
1841,-2,5,0,-2,0
1842,1,0,1,2,1
1843,1,0,2,-2,1
1846,-2,5,0,-2,0
1849,-1,0,0,2,1
1850,-1,0,2,-2,1
1852,0,0,3,2,1
1853,1,0,1,-2,1
1855,-2,5,0,-2,0
1858,0,5,0,-2,0
1859,2,5,0,-2,0
1860,-1,5,0,-2,0
1861,1,5,0,2,0
1862,-2,5,0,-2,0
1863,-2,5,0,-2,0
1864,-1,0,3,-2,1
1865,1,5,0,-2,0
1868,-2,0,0,-2,0
1869,0,0,0,2,0
1870,-1,4,0,-2,0
1871,-1,5,0,-2,0
1873,1,5,0,2,0
1874,2,0,1,2,1
1875,1,0,3,2,1
1877,-2,5,0,-2,0
1878,-1,5,0,2,0
1880,-2,0,1,-2,1
1882,1,1,0,2,0
1883,0,0,0,2,1
1884,1,4,0,2,0
1886,2,0,0,2,1
1887,0,0,4,-2,1
1889,0,0,2,-2,1
1891,0,5,0,-2,0
1892,-2,0,0,-2,1
1893,2,5,0,2,0
1894,1,0,4,2,1
1895,0,0,4,2,1
1896,2,0,2,-2,1
1897,2,5,0,-2,0
1898,1,0,5,-2,1
1900,1,5,0,2,0
1901,0,5,0,2,0
1904,2,0,4,2,1
1905,2,0,3,2,1
1906,0,0,3,2,1
1907,1,5,0,2,0
1908,-2,5,0,-2,0
1911,0,0,0,-2,1
1912,-1,0,0,-2,1
1913,1,5,0,2,0
1914,1,0,1,2,1
1915,0,4,0,-2,0
1916,-1,5,0,-2,0
1918,1,5,0,2,0
1920,-2,0,4,-2,1
1923,0,5,0,-2,0
1925,1,0,0,2,1
1926,0,3,0,2,0
1928,-1,5,0,2,0
1929,0,5,0,2,0
1930,1,0,4,2,1
1931,0,4,0,-2,0
1932,-1,0,0,-2,0
1936,-1,0,1,-2,1
1938,-2,1,0,-2,0
1939,2,5,0,2,0
1942,1,5,0,2,0
1943,0,0,1,-2,1
1944,-1,5,0,-2,0
1947,1,3,0,-2,0
1948,2,0,0,-2,1
1949,0,0,1,-2,1
1950,0,5,0,2,0
1951,1,0,2,2,1
1952,-1,0,3,-2,1
1953,-2,0,1,-2,1
1954,1,0,1,2,1
1955,0,0,0,2,1
1956,1,5,0,2,0
1957,2,5,0,2,0
1958,-1,5,0,2,0
1959,0,0,2,-2,1
1960,1,5,0,-2,0
1961,2,5,0,2,0
1963,0,5,0,2,0
1964,-1,0,3,-2,1
1968,0,5,0,2,0
1969,2,5,0,2,0
1970,2,0,2,-2,1
1971,-2,0,1,-2,1
1973,-1,5,0,-2,0
1975,1,5,0,2,0
1976,1,5,0,2,0
1978,1,3,0,2,0
1979,0,0,2,-2,1
1980,-2,5,0,2,0
1982,0,5,0,2,0
1983,1,0,5,2,1
1984,1,5,0,2,0
1985,-2,4,0,-2,0
1986,1,0,3,-2,1
1988,1,0,0,-2,1
1990,-2,2,0,-2,0
1992,0,1,0,2,0
1994,1,0,4,2,1
1995,1,4,0,2,0
1996,-2,0,4,-2,1
1997,1,0,1,2,1
1998,1,0,1,2,1
2000,-2,0,0,-2,1
2001,-1,5,0,-2,0
2002,-1,4,0,-2,0
2003,2,3,0,2,0
2004,-1,5,0,-2,0
2005,0,0,1,-2,1
2007,0,4,0,-2,0
2008,-2,5,0,-2,0
2009,2,5,0,2,0
2010,-1,0,3,2,1
2011,1,0,1,2,1
2012,-2,0,2,-2,1
2013,-2,5,0,-2,0
2015,2,5,0,2,0
2016,0,0,1,2,1
2018,1,1,0,2,0
2019,1,5,0,-2,0
2021,1,0,1,-2,1
2022,1,0,2,-2,1
2023,0,4,0,2,0
2024,0,0,0,2,1
2025,-2,5,0,-2,0
2026,1,0,4,2,1
2027,0,5,0,2,0
2030,-2,0,1,-2,1
2031,1,0,1,2,1
2033,1,5,0,2,0
2034,2,0,1,-2,1
2035,-2,5,0,2,0
2036,2,5,0,2,0
2037,-1,0,3,-2,1
2039,1,5,0,-2,0
2040,1,5,0,2,0
2041,1,0,2,2,1
2042,0,0,5,2,1
2044,1,0,1,2,1
2047,-1,0,1,-2,1
2049,-1,5,0,-2,0
2050,-1,5,0,2,0
2051,-1,4,0,-2,0
2052,1,5,0,-2,0
2053,1,4,0,2,0
2056,-2,5,0,2,0
2057,1,0,2,2,1
2058,0,5,0,2,0
2059,1,0,1,-2,1
2060,1,4,0,2,0
2061,1,0,0,2,1
2062,1,0,2,2,1
2063,1,5,0,-2,0
2064,2,4,0,2,0
2065,-1,0,2,-2,1
2067,1,2,0,2,0
2069,1,4,0,2,0
2070,1,5,0,2,0
2071,-1,5,0,2,0
2072,1,5,0,-2,0
2073,0,5,0,2,0
2074,-1,5,0,-2,0
2075,0,5,0,-2,0
2076,-2,1,0,-2,0
2079,1,0,3,2,1
2080,1,0,2,-2,1
2081,0,4,0,-2,0
2082,2,5,0,2,0
2084,-1,5,0,2,0
2086,-1,0,5,-2,1
2088,0,0,4,2,1
2089,0,5,0,-2,0
2091,1,0,4,2,1
2092,-1,0,0,-2,1
2093,-2,5,0,2,0
2095,1,3,0,2,0
2096,2,0,4,2,1
2097,1,5,0,2,0
2098,-2,0,1,-2,1
2099,1,0,5,2,1
2100,-1,0,3,-2,1
2102,0,0,4,-2,1
2103,-2,0,0,-2,0
2104,2,0,2,2,1
2105,0,5,0,-2,0
2107,-1,0,1,-2,1
2108,0,0,2,2,1
2109,1,0,1,2,1
2113,0,5,0,2,0
2114,2,5,0,-2,0
2116,1,5,0,2,0
2117,2,5,0,-2,0
2118,0,0,1,2,1
2119,0,0,2,-2,1
2120,0,0,4,2,1
2121,0,0,3,2,1
2122,0,5,0,2,0
2124,-1,0,2,-2,1
2125,1,0,3,2,1
2126,2,5,0,-2,0
2127,1,0,2,2,1
2131,1,3,0,2,0
2132,1,0,0,-2,1
2133,-1,5,0,-2,0
2134,-1,4,0,-2,0
2137,0,5,0,-2,0
2138,1,5,0,2,0
2140,0,5,0,2,0
